"","year","boys","girls","total","more_boys"
"1",1629,5218,4683,9901,TRUE
"2",1630,4858,4457,9315,TRUE
"3",1631,4422,4102,8524,TRUE
"4",1632,4994,4590,9584,TRUE
"5",1633,5158,4839,9997,TRUE
"6",1634,5035,4820,9855,TRUE
"7",1635,5106,4928,10034,TRUE
"8",1636,4917,4605,9522,TRUE
"9",1637,4703,4457,9160,TRUE
"10",1638,5359,4952,10311,TRUE
"11",1639,5366,4784,10150,TRUE
"12",1640,5518,5332,10850,TRUE
"13",1641,5470,5200,10670,TRUE
"14",1642,5460,4910,10370,TRUE
"15",1643,4793,4617,9410,TRUE
"16",1644,4107,3997,8104,TRUE
"17",1645,4047,3919,7966,TRUE
"18",1646,3768,3395,7163,TRUE
"19",1647,3796,3536,7332,TRUE
"20",1648,3363,3181,6544,TRUE
"21",1649,3079,2746,5825,TRUE
"22",1650,2890,2722,5612,TRUE
"23",1651,3231,2840,6071,TRUE
"24",1652,3220,2908,6128,TRUE
"25",1653,3196,2959,6155,TRUE
"26",1654,3441,3179,6620,TRUE
"27",1655,3655,3349,7004,TRUE
"28",1656,3668,3382,7050,TRUE
"29",1657,3396,3289,6685,TRUE
"30",1658,3157,3013,6170,TRUE
"31",1659,3209,2781,5990,TRUE
"32",1660,3724,3247,6971,TRUE
"33",1661,4748,4107,8855,TRUE
"34",1662,5216,4803,10019,TRUE
"35",1663,5411,4881,10292,TRUE
"36",1664,6041,5681,11722,TRUE
"37",1665,5114,4858,9972,TRUE
"38",1666,4678,4319,8997,TRUE
"39",1667,5616,5322,10938,TRUE
"40",1668,6073,5560,11633,TRUE
"41",1669,6506,5829,12335,TRUE
"42",1670,6278,5719,11997,TRUE
"43",1671,6449,6061,12510,TRUE
"44",1672,6443,6120,12563,TRUE
"45",1673,6073,5822,11895,TRUE
"46",1674,6113,5738,11851,TRUE
"47",1675,6058,5717,11775,TRUE
"48",1676,6552,5847,12399,TRUE
"49",1677,6423,6203,12626,TRUE
"50",1678,6568,6033,12601,TRUE
"51",1679,6247,6041,12288,TRUE
"52",1680,6548,6299,12847,TRUE
"53",1681,6822,6533,13355,TRUE
"54",1682,6909,6744,13653,TRUE
"55",1683,7577,7158,14735,TRUE
"56",1684,7575,7127,14702,TRUE
"57",1685,7484,7246,14730,TRUE
"58",1686,7575,7119,14694,TRUE
"59",1687,7737,7214,14951,TRUE
"60",1688,7487,7101,14588,TRUE
"61",1689,7604,7167,14771,TRUE
"62",1690,7909,7302,15211,TRUE
"63",1691,7662,7392,15054,TRUE
"64",1692,7602,7316,14918,TRUE
"65",1693,7676,7483,15159,TRUE
"66",1694,6985,6647,13632,TRUE
"67",1695,7263,6713,13976,TRUE
"68",1696,7632,7229,14861,TRUE
"69",1697,8062,7767,15829,TRUE
"70",1698,8426,7626,16052,TRUE
"71",1699,7911,7452,15363,TRUE
"72",1700,7578,7061,14639,TRUE
"73",1701,8102,7514,15616,TRUE
"74",1702,8031,7656,15687,TRUE
"75",1703,7765,7683,15448,TRUE
"76",1704,6113,5738,11851,TRUE
"77",1705,8366,7779,16145,TRUE
"78",1706,7952,7417,15369,TRUE
"79",1707,8379,7687,16066,TRUE
"80",1708,8239,7623,15862,TRUE
"81",1709,7840,7380,15220,TRUE
"82",1710,7640,7288,14928,TRUE
